,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Unnamed: 9,Opposition,Ground,Start Date,Unnamed: 13
63,21*,31,27,2,0,77.77,7,not out,2,,v England,Mohali,23 Jan 2013,ODI # 3327
64,39,65,65,1,2,60.00,7,caught,1,,v England,Dharamsala,27 Jan 2013,ODI # 3329
65,47*,37,29,7,1,162.06,7,not out,1,,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
66,DNB,-,-,-,-,-,-,-,2,,v West Indies,The Oval,11 Jun 2013,ODI # 3368
67,DNB,-,-,-,-,-,-,-,2,,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
68,DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
69,33*,35,25,2,2,132.00,7,not out,1,,v England,Birmingham,23 Jun 2013,ODI # 3377
70,15,27,20,2,0,75.00,7,bowled,1,,v West Indies,Kingston,30 Jun 2013,ODI # 3380
71,49*,76,62,4,1,79.03,7,not out,2,,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
72,2,11,5,0,0,40.00,7,run out,1,,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
73,DNB,-,-,-,-,-,-,-,1,,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
74,5,15,14,0,0,35.71,7,lbw,2,,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
75,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
76,15,28,22,1,0,68.18,7,caught,1,,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
77,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
78,DNB,-,-,-,-,-,-,-,2,,v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
79,48*,85,77,4,2,62.33,4,not out,2,,v Zimbabwe,Bulawayo,3 Aug 2013,ODI # 3403
80,11,22,18,1,0,61.11,7,caught,2,,v Australia,Pune,13 Oct 2013,ODI # 3419
81,DNB,-,-,-,-,-,-,-,2,,v Australia,Jaipur,16 Oct 2013,ODI # 3420
82,2,9,4,0,0,50.00,7,caught,1,,v Australia,Mohali,19 Oct 2013,ODI # 3421
83,DNB,-,-,-,-,-,-,-,2,,v Australia,Ranchi,23 Oct 2013,ODI # 3422
84,DNB,-,-,-,-,-,-,-,2,,v Australia,Nagpur,30 Oct 2013,ODI # 3424
85,0*,2,0,0,0,-,7,not out,1,,v Australia,Bengaluru,2 Nov 2013,ODI # 3428
86,DNB,-,-,-,-,-,-,-,2,,v West Indies,Kochi,21 Nov 2013,ODI # 3436
87,10,27,20,0,0,50.00,7,bowled,1,,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
88,2*,16,11,0,0,18.18,7,not out,2,,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
89,29,36,30,6,0,96.66,7,bowled,2,,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
90,26,63,34,1,1,76.47,7,caught,2,,v South Africa,Durban,8 Dec 2013,ODI # 3443
91,TDNB,-,-,-,-,-,-,-,-,,v South Africa,Centurion,11 Dec 2013,ODI # 3444
92,0,2,3,0,0,0.00,7,caught,2,,v New Zealand,Napier,19 Jan 2014,ODI # 3456
93,12,20,8,0,1,150.00,7,bowled,2,,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
94,66*,77,45,5,4,146.66,8,not out,2,,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
95,62*,78,54,8,2,114.81,7,not out,1,,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
96,5,7,6,1,0,83.33,8,caught,2,,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
97,DNB,-,-,-,-,-,-,-,2,,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
98,22*,48,27,0,1,81.48,7,not out,1,,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
99,52*,62,49,4,2,106.12,7,not out,1,,v Pakistan,Mirpur,2 Mar 2014,ODI # 3479
100,DNB,-,-,-,-,-,-,-,2,,v Afghanistan,Mirpur,5 Mar 2014,ODI # 3483
101,9*,20,11,0,0,81.81,7,not out,1,,v England,Cardiff,27 Aug 2014,ODI # 3517
102,12*,10,9,1,0,133.33,6,not out,2,,v England,Nottingham,30 Aug 2014,ODI # 3520
103,DNB,-,-,-,-,-,-,-,2,,v England,Birmingham,2 Sep 2014,ODI # 3523
104,87,87,68,9,2,127.94,7,bowled,2,,v England,Leeds,5 Sep 2014,ODI # 3525
105,33*,80,36,2,1,91.66,7,not out,2,,v West Indies,Kochi,8 Oct 2014,ODI # 3531
106,6,21,16,0,0,37.50,7,bowled,1,,v West Indies,Delhi,11 Oct 2014,ODI # 3533
107,2,4,2,0,0,100.00,6,caught,1,,v West Indies,Dharamsala,17 Oct 2014,ODI # 3535
108,1*,-,1,0,0,100.00,6,not out,2,,v Sri Lanka,Ahmedabad,6 Nov 2014,ODI # 3540
109,DNB,-,-,-,-,-,-,-,1,,v Australia,Sydney,26 Jan 2015,ODI # 3592
110,5,18,9,0,0,55.55,8,caught,1,,v England,Perth,30 Jan 2015,ODI # 3595
111,3,7,5,0,0,60.00,6,bowled,1,,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
112,2,4,4,0,0,50.00,7,run out,1,,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
